Name,NA_sales,EU_sales,JP_sales,other_sales
Crazy Taxi: Fare Wars,0.1,0.22,0.02,0.12
Create,0.47,0.1,0,0.06
Creeper World 3: Arc Eternal,0,0,0.1,0
Crime Crackers,0,0,0.09,0.01
Crime Killer,0.07,0.04,0,0.01
Crime Lab: Body of Evidence,0.05,0.01,0,0
Crime Life: Gang Wars,0.04,0.01,0,0
Crime Scene,0,0.02,0,0
Criminal Girls 2,0,0,0.03,0
Criminal Girls: Invite Only,0.04,0.02,0.12,0.02
Crimson Gem Saga,0.06,0,0,0
Crimson Sea,0.04,0.01,0.04,0
Crimson Sea 2,0.03,0.03,0,0.01
Crimson Skies: High Road to Revenge,0.65,0.19,0,0.03
Crimson Tears,0.02,0.01,0,0
Crisis Core: Final Fantasy VII,1.35,0.6,0.8,0.44
Critical Depth,0.13,0.09,0,0.01
Criticom,0.07,0.05,0,0.01
Croc 2,0.41,0.28,0,0.05
Croc: Legend of the Gobbos,1.57,1.79,0,0.2
Cross + Channel,0,0,0.02,0
Cross Ange: Tenshi to Ryuu no Rondo tr.,0,0,0.02,0
Cross Channel: In Memory of All People,0,0,0.02,0
Cross Edge,0.14,0.02,0.05,0.02
Cross Edge Dash,0,0,0.01,0
Cross Treasures,0,0,0.02,0
Crossroad Crisis,0.01,0,0,0
CrossworDS,0.51,0,0,0.04
"Crouching Tiger, Hidden Dragon",0.09,0.06,0,0.02
Cruise Ship Vacation Games,0.13,0,0,0.01
Cruis'n,0.1,0.01,0,0.01
Cruis'n Exotica,0.17,0.04,0,0
Cruis'n USA,1.69,0.04,0,0.01
Cruis'n World,0.59,0.04,0,0.01
Crusader: No Remorse,0.03,0.02,0,0
Crusaders of Might and Magic,0.14,0.1,0,0.02
Crush,0.07,0,0,0.01
Crush3D,0.07,0.04,0,0.01
Crushed Baseball,0.03,0.01,0,0
Crypt Killer,0.02,0.01,0,0
Crysis,0,0.69,0,0.03
Crysis 2,1.31,1.52,0.08,0.46
Crysis 3,0.94,1.15,0.04,0.35
Crysis: Maximum Edition,0,0.07,0,0.02
Crysis: Warhead,0,0.02,0,0
Crystal Castles,0.72,0.04,0,0.01
CSI: 3 Dimensions of Murder,0.07,0.06,0,0.02
CSI: Crime Scene Investigation,0.09,0.03,0,0
CSI: Dark Motives,0.05,0.01,0,0.01
CSI: Deadly Intent,0.23,0.21,0,0.05
CSI: Deadly Intent - The Hidden Cases,0.16,0.16,0,0.04
CSI: Fatal Conspiracy,0.34,0.2,0,0.06
CSI: Hard Evidence,0.43,0.45,0,0.11
CSI: Unsolved!,0.13,0.06,0,0.02
CT Special Forces,0.02,0.01,0,0
CT Special Forces 2: Back in the Trenches,0.01,0,0,0
Cube,0.02,0,0,0
Cubic Ninja,0.05,0.04,0,0.01
Cubivore: Survival of the Fittest,0.01,0,0.15,0
Cubix Robots for Everyone: Clash 'n' Bash,0.26,0.1,0,0.01
Culdcept,0.01,0.01,0.16,0
Culdcept DS,0,0,0.1,0
Culdcept Revolt,0,0,0.05,0
Culdcept SAGA,0.12,0,0.03,0.01
Curious George,0.31,0.13,0,0.02
Curse of the Amsterdam Diamond,0,0.01,0,0
Cursed Mountain,0.09,0.1,0,0.02
Custer's Revenge,0.76,0.05,0,0.01
Custom Beat Battle: Draglade 2,0,0,0.03,0
Custom Drive,0,0,0.02,0
Custom Robo,0.29,0.07,0.29,0.05
Custom Robo Arena,0.02,0.02,0.12,0
Custom Robo V2,0,0,0.34,0.05
Cut the Rope,0.06,0,0,0.01
CV Casting Voice,0,0,0.02,0
Cy Girls,0.02,0.01,0,0
Cyber Sled,0,0,0.13,0.01
Cyber Troopers Virtual-On,0,0,0.42,0
Cyber Troopers Virtual-On Marz,0.02,0.01,0,0
Cyberia,0.05,0.03,0,0.01
CyberTiger,0.38,0.23,0,0.04
D,0,0,0.1,0.01
D.C. II P.S.: Da Capo II Plus Situation,0,0,0.06,0
D.C. III: Da Capo III,0,0,0.03,0
D.C.F.S.: Da Capo Four Seasons,0,0,0.04,0
D.C.I.F.: Da Capo Innocent Finale,0,0,0.03,0
D.Gray-man: Kami no Shitotachi,0,0,0.05,0
D.Gray-man: Sousha no Shikaku,0,0,0.02,0
D1 Professional Drift Grand Prix Series,0.01,0.01,0,0
Da Capo I & II Plus Situation Portable,0,0,0.04,0
DaGeDar,0.09,0,0,0.01
Dai Senryaku VII: Modern Military Tactics,0.03,0.01,0,0
Dai-2-Ji Super Robot Taisen OG,0,0,0.3,0
Dai-2-Ji Super Robot Taisen Z Saisei-hen,0,0,0.36,0
Dai-2-Ji Super Robot Taisen Z: Hakai-hen,0,0,0.42,0
Dai-2-Ji Super Robot Taisen α,0,0,0.6,0
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,0,0,0.59,0
Dai-4-Ji Super Robot Taisen,0,0,0.38,0
Dai-4-Ji Super Robot Taisen S,0,0,0.48,0.03
Daibakushou: Jinsei Gekijou,0,0,0.03,0
Daigasso! Band Brothers,0,0,0.19,0
Daigasso! Band Brothers P,0,0,0.18,0
Daikaijuu Battle: Ultra Coliseum,0,0,0.02,0
Daikaijuu Battle: Ultra Coliseum DX - Ultra Senshi Daishuuketsu,0,0,0.04,0
Daikaijyuu Monogatari,0,0,0.3,0
Daikaijyuu Monogatari II,0,0,0.12,0
Daisy Fuentes Pilates,0.17,0.06,0,0.02
Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,0,0,0.03,0
Daito Giken Koushiki Pachi-Slot Simulator: 24 - Twenty-Four,0,0,0.01,0
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,0,0,0.11,0
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,0,0,0.02,0
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,0,0,0.1,0
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,0,0,0.06,0
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable,0,0,0.02,0
Daito Giken Koushiki Pachi-Slot Simulator: Shake II,0,0,0.04,0
Daito Giken Koushiki Pachi-Slot Simulator: Shin Yoshimune,0,0,0.06,0
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,0,0,0.03,0
Daito Giken Premium Pachi-Slot Collection: Yoshimune,0,0,0.03,0
Daiya no Kuni no Alice: Wonderful Mirror World,0,0,0.01,0
Dakar 2: The World's Ultimate Rally,0.04,0.01,0,0
Damage Inc.: Pacific Squadron WWII,0.07,0,0,0.01
Damnation,0.13,0.03,0,0.02
Danball Senki,0,0,0.39,0
Danball Senki Boost,0,0,0.22,0
Dance Central,2.15,0.77,0.01,0.26
Dance Central 2,1.45,0.42,0.01,0.16
Dance Central 3,0.57,0.2,0,0.06
Dance Central: Spotlight,0.15,0.03,0,0
Dance Dance Revolution (Japan),0,0,1.26,0.09
Dance Dance Revolution (North America),0.08,0.06,0,0.01
Dance Dance Revolution 2nd ReMIX,0,0,0.9,0.06
Dance Dance Revolution 3rdMix,0,0,0.33,0.02
Dance Dance Revolution Disney Mix,0.02,0.02,0,0
Dance Dance Revolution Extra Mix,0,0,0.02,0
Dance Dance Revolution Extreme,1.04,0.81,0,0.27
Dance Dance Revolution Extreme 2,0.95,0.04,0,0.16
Dance Dance Revolution SuperNOVA,0.87,0.03,0,0.14
Dance Dance Revolution SuperNOVA 2,0.64,0.03,0.02,0.1
Dance Dance Revolution Ultramix,0.42,0.11,0,0.02
Dance Dance Revolution Ultramix 2,0.32,0.09,0,0.02
Dance Dance Revolution Ultramix 3,0.28,0.08,0,0.01
Dance Dance Revolution Universe,0.3,0,0,0.02
Dance Dance Revolution Universe 2,0.46,0.01,0,0.04
Dance Dance Revolution Universe 3,0.28,0,0,0.02
Dance Dance Revolution X,0.85,0.66,0.01,0.22
Dance Dance Revolution X2,1.09,0.85,0,0.28
Dance Dance Revolution: Disney Channel Edition,0.12,0.09,0,0.03
Dance Dance Revolution: Disney Grooves,0.17,0,0,0.01
Dance Dance Revolution: Hottest Party,1.36,0.52,0,0.2
Dance Dance Revolution: Hottest Party 2,0.95,0.48,0.01,0.15
Dance Dance Revolution: Hottest Party 3,0.26,0.14,0,0.04
Dance Dance Revolution: Hottest Party 5,0,0.03,0,0
Dance Dance Revolution: Mario Mix,0.36,0.09,0,0.01
Dance Dance Revolution: Mario Mix (JP sales),0,0,0.05,0
Dance Factory,0.02,0.01,0,0
Dance on Broadway,0.32,0.69,0,0.13
Dance Paradise,0.1,0.01,0,0.01
Dance Party: Pop Hits,0,0.36,0,0.02
Dance Sensation!,0.06,0,0,0
Dance with Devils,0,0,0.01,0
Dance! It's Your Stage,0,0.03,0,0.01
DanceDanceRevolution,0.49,0.09,0,0.05
DanceDanceRevolution II,0.22,0,0,0.02
DanceMasters,0.15,0.02,0.02,0.01
DanceStar Party,0,0.35,0,0.1
Dancing Blade II: Tears of Eden,0,0,0.03,0
Dancing on Ice,0,0.11,0,0.01
Dancing With The Stars,0.3,0.06,0,0.04
Dancing with the Stars: We Dance!,0.72,0,0,0.06
Danganronpa 2: Goodbye Despair,0.13,0.07,0.19,0.06
Danganronpa Another Episode: Ultra Despair Girls,0.1,0.03,0.12,0.04
Danganronpa: Trigger Happy Havoc,0.14,0.07,0.39,0.06
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,0,0,0.08,0
Daniel X: The Ultimate Power,0.07,0,0,0.01
Danny Phantom: The Ultimate Enemy,0.16,0.06,0,0
Danny Phantom: Urban Jungle,0.04,0,0,0
Dante's Inferno,1.39,0.51,0.07,0.23
Darius Burst: Chronicle Saviours,0,0,0.03,0
Darius Gaiden,0,0,0.1,0
Darius II,0,0,0.03,0
Dark Angel: Vampire Apocalypse,0.04,0.03,0,0.01
Dark Arena,0.03,0.01,0,0
Dark Cavern,0.22,0.01,0,0
Dark Cloud,0.83,0.44,0.08,0.19
Dark Cloud 2,0.38,0.25,0.26,0.07
Dark Half,0,0,0.04,0
Dark Messiah of Might and Magic Elements,0.16,0.02,0.01,0.02
Dark Parables: The Exiled Prince,0,0.01,0,0
Dark Rift,0.12,0.03,0,0
Dark Sector,0.45,0.36,0.02,0.12
Dark Souls,1.39,0.88,0.54,0.32
Dark Souls II,1.29,0.93,0.49,0.35
Dark Souls III,0.81,0.58,0.33,0.24
Dark Summit,0.23,0.11,0,0.03
Dark Tales: Edgar Allan Poe's The Premature Burial,0,0.02,0,0
Dark Void,0.37,0.22,0,0.09
Darkened Skye,0.01,0,0,0
Darkest of Days,0.09,0,0,0.01
Darklight Conflict,0.02,0.01,0,0
Darksiders,0.75,0.36,0.01,0.12
Darksiders II,1.02,0.94,0.01,0.3
Darkspore,0.07,0.03,0,0.01
Darkstalkers 3,0.11,0.07,0,0.01
Darkstalkers Chronicle: The Chaos Tower,0.13,0,0,0.01
Darkstalkers Resurrection,0,0,0.03,0
DarkStar One,0,0.03,0,0.01
DarkStar One: Broken Alliance,0.11,0.08,0,0.02
Darkstone,0.37,0.25,0,0.04
Darkwatch,0.32,0.17,0,0.05
Data East Arcade Classics,0.08,0,0,0.01
Date A Live: Arusu Install,0,0,0.02,0
Date A Live: Rine Utopia,0,0,0.04,0
Date-A-Live Twin Edition: Rio Reincarnation,0,0,0.02,0
Datenshi no Amai Yuuwaku x Kaikan Phrase,0,0,0.01,0
Dave Mirra BMX Challenge,0.12,0,0,0.02
Dave Mirra Freestyle BMX,0.91,0.11,0,0.03
Dave Mirra Freestyle BMX 2,1.17,0.68,0,0.2
Dave Mirra Freestyle BMX 3,0.02,0.01,0,0
Dave Mirra Freestyle BMX: Maximum Remix,0.15,0.1,0,0.02
Davis Cup Tennis,0.01,0,0,0
Dawn of Discovery,0.2,0.41,0,0.1
Dawn of Heroes,0.07,0,0,0
Dawn of Mana,0.07,0.05,0.29,0.02
Daxter,2.45,1.02,0,0.75
Daytona USA,0,0,0.55,0
Daytona USA Championship Circuit Edition,0,0,0.14,0
DC Universe Online,0.51,0.18,0,0.08
DDRMAX2: Dance Dance Revolution,1.05,0.59,0,0.18
de Blob,0.5,0.37,0,0.1
de Blob 2,0.41,0.19,0,0.07
Dead Ball Zone,0.02,0.02,0,0
Dead Head Fred,0.04,0,0,0
Dead in the Water,0.03,0.02,0,0
Dead Island,2.68,1.53,0.15,0.54
Dead Island Definitive Collection,0.04,0.09,0.01,0.02
Dead Island: Riptide,0.7,0.54,0.08,0.17
Dead Man's Hand,0.09,0.02,0,0
Dead or Alive,0.09,0.06,0.28,0.02
Dead or Alive 2,0.3,0.24,0.52,0.08
Dead or Alive 3,1.19,0.29,0.24,0.06
Dead or Alive 4,0.3,0.03,0.1,0.03
Dead or Alive 5,0.55,0.44,0.35,0.16
Dead or Alive Paradise,0.07,0.02,0.07,0.02
Dead or Alive Ultimate,0.3,0.1,0.08,0.02
Dead or Alive Xtreme 2,0.15,0.03,0.06,0.02
Dead or Alive Xtreme 3: Fortune,0,0,0.05,0
Dead or Alive Xtreme 3: Venus,0,0,0.03,0
Dead or Alive Xtreme Beach Volleyball,0.36,0.08,0.14,0.02
Dead or Alive: Dimensions,0.13,0.21,0.07,0.03
Dead Rising,1.17,0.65,0.08,0.2
Dead Rising 2,1.28,1.12,0.24,0.35
Dead Rising 2: Off the Record,0.32,0.19,0.1,0.06
Dead Rising 3,1.06,0.35,0.01,0.12
Dead Rising: Chop Till You Drop,0.15,0.07,0.05,0.02
Dead Space,1.94,1.6,0,0.49
Dead Space 2,1.8,1.1,0,0.39
Dead Space 3,1.1,0.81,0,0.27
Dead Space Extraction,0.33,0.11,0.01,0.04
Dead to Rights,1.32,0.72,0,0.2
Dead to Rights II,0.18,0.1,0,0.03
Dead to Rights: Reckoning,0.12,0,0,0.01
Dead to Rights: Retribution,0.21,0.2,0.02,0.07
Deadliest Catch: Alaskan Storm,0.04,0,0,0
Deadliest Catch: Sea of Chaos,0.28,0,0,0.03
Deadliest Warrior: Ancient Combat,0.08,0,0,0
Deadly Arts,0.03,0.01,0,0
Deadly Creatures,0.08,0.12,0,0.03
Deadly Duck,0.21,0.01,0,0
Deadly Premonition,0.26,0.11,0,0.04
Deadpool,0.7,0.46,0,0.18
Deal or No Deal,2.37,0.42,0,0.24
Deal or No Deal: Special Edition,0.04,0,0,0
Deal or No Deal: The Banker is Back!,0,0.2,0,0
Death By Degrees,0.05,0.04,0,0.01
Death Connection Portable,0,0,0.01,0
Death Jr.,0.17,0,0,0.01
Death Jr. and the Science Fair of Doom,0.08,0,0,0.01
Death Jr. II: Root of Evil,0.05,0,0,0
Death Jr.: Root of Evil,0.1,0,0,0.01
DEATH NOTE: Kira Game,0,0,0.12,0
DEATH NOTE: L o Tsugu Mono,0,0,0.02,0
Death Trap,0.15,0.01,0,0
Deathrow: Underground Team Combat,0.05,0.01,0,0
DeathSmiles,0.15,0.06,0.05,0.02
DeathSmiles II,0,0,0.03,0
Deathtrap Dungeon,0.19,0.13,0,0.02
Deca Sports,1.13,0.87,0.29,0.25
Deca Sports 2,0.33,0.34,0.09,0.07
Deca Sports 3,0.15,0.07,0,0.02
Deca Sports DS,0.08,0.02,0,0.01
Deca Sports Extreme,0.08,0,0.03,0.01
DECA Sports Freedom,0.27,0.04,0,0.02
Decathlete,0,0,0.3,0
Deception III: Dark Delusion,0.02,0.01,0,0
Deception IV: Blood Ties,0.05,0.05,0.13,0.03
Deep Fear,0,0,0.08,0
Deep Labyrinth,0.06,0,0,0
Deepak Chopra's Leela,0.18,0.06,0,0.02
Deer Drive,1.08,0.04,0,0.07
Deer Drive: Legends,0.03,0,0,0
Deer Hunter,0.14,0.11,0,0.04
Def Jam Fight For NY: The Takeover,0.08,0,0,0.01
Def Jam Icon,0.46,0.2,0,0.11
Def Jam Rapstar,0.81,0.1,0,0.07
Def Jam Vendetta,1.14,0.79,0,0.26
Def Jam: Fight for NY,1.46,0.82,0,0.25
DefCon 5,0.04,0.03,0,0
Defender,1.34,0.24,0,0.06
Defender II,0.42,0.02,0,0
Defendin' De Penguin,0.07,0,0,0
Defiance,0.71,0.3,0,0.11
Delta Force: Black Hawk Down,0.47,0.24,0,0.07
Dementium II,0.09,0.02,0,0.01
Dementium: The Ward,0.15,0.01,0,0.01
Demigod,0,0.02,0,0
DemiKids: Dark Version,0.02,0.01,0,0
DemiKids: Light Version,0.02,0.01,0,0
Demolition Company: Gold Edition,0,0.02,0,0
Demolition Racer,0.17,0.12,0,0.02
Demon Attack,1.99,0.12,0,0.02
Demon Chaos,0,0,0.09,0
Demon Driver: Time to Burn Rubber!,0.02,0.01,0,0
Demon Gaze,0.06,0.03,0.08,0.02
Demon Gaze 2,0,0,0.01,0
Demon's Souls,0.97,0.34,0.35,0.18
Dengeki Bunko Fighting Climax,0.13,0,0.16,0.04
Dengeki Gakuen RPG: Cross of Venus,0,0,0.05,0
Dengeki Gakuen RPG: Cross of Venus Special,0,0,0.01,0
Denki Blocks!,0.03,0.01,0,0
Dennou Senki Virtual-On Force,0,0,0.03,0
Densetsu no Stafi,0,0,0.46,0.01
Densetsu no Stafi 2,0,0,0.43,0.01
Densetsu no Stafi 3,0,0,0.23,0.01
Densetsu no Stafi 4,0,0,0.17,0
Densetsu no Yuusha no Densetsu: Legendary Saga,0,0,0.01,0
Densha De Go!,0,0,1.02,0.07
Densha De Go! 2,0,0,0.38,0.03
Densha De Go! 3 Tsuukinhen,0,0,0.06,0
Densha De Go! 64,0,0,0.05,0.07
Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,0,0,0.02,0
Densha de Go! Tokubetsu-hen: Fukkatsu Shouwa no Yamatesen,0,0,0.02,0
Deponia,0,0.13,0,0.03
Derby Jockey 2,0,0,0.1,0
Derby Jockey: Kishou e no Michi,0,0,0.07,0
Derby Stallion,0,0,2.05,0.14
Derby Stallion 04,0,0,0.55,0
Derby Stallion 64,0,0,0.15,0
Derby Stallion 96,0,0,1.04,0.01
Derby Stallion 98,0,0,0.08,0
Derby Stallion 99,0,0,1.06,0.07
Derby Stallion Advance,0,0,0.12,0
Derby Stallion DS,0,0,0.32,0
Derby Stallion Gold,0,0,0.14,0
Derby Stallion II,0,0,0.87,0
Derby Stallion III,0,0,1.15,0
Derby Stallion P,0,0,0.1,0
Derby Time 2006,0,0,0.03,0
Derby Tsuku 5: Derby Uma o Tsukurou!,0,0,0.04,0
Derby Tsuku: Derby Uma o Tsukurou!,0,0,0.08,0
Descent,0.11,0.07,0,0.01
Descent Maximum,0.05,0.04,0,0.01
Desert Falcon,0.24,0.01,0,0
Desert Strike Advance,0.05,0.02,0,0
Desire,0,0,0.14,0
Desktop Tower Defense,0.11,0,0,0.01
Despicable Me: The Game,0.29,0.24,0,0.08
Despicable Me: The Game - Minion Mayhem,0.42,0.09,0,0.04
Destiny,6.59,4.12,0.28,1.62
Destiny Links,0,0,0.01,0
Destiny: The Collection,0.02,0.06,0,0.01
Destiny: The Taken King,1.97,1.3,0.06,0.51
Destrega,0.04,0.03,0,0
Destroy All Humans!,1.12,0.14,0,0.15
Destroy All Humans! 2,0.4,0.02,0,0.07
Destroy All Humans! Big Willy Unleashed,0.13,0,0,0.01
Destroy All Humans! Path of the Furon,0.08,0.12,0,0.02
Destruction Derby,0.5,0.34,0,0.06
Destruction Derby 2,0.65,0.44,0,0.08
Destruction Derby 64,0.13,0.03,0,0
Destruction Derby Arenas,0.06,0.05,0,0.02
Destruction Derby Raw,0.08,0.05,0,0.01
Detana TwinBee Yahho! Deluxe Pack,0,0,0.21,0.01
Detective Barbie: The Mystery Cruise,0.08,0.05,0,0.01
Detective Conan: Marionette Symphony,0,0,0.05,0
Detective Conan: Phantom Rhapsody,0,0,0.03,0
Detective Conan: Prelude from the Past,0,0,0.09,0
Detective Jinguuji Saburo: Ronde Revenge,0,0,0.02,0
Detective Opera: Milky Holmes 2,0,0,0.03,0
Deus Ex,0,0.01,0,0
Deus Ex: Human Revolution,1.57,1.38,0.09,0.45
Deus Ex: Invisible War,0.25,0.07,0,0.01
Deus Ex: Mankind Divided,0.18,0.26,0,0.06
Deus Ex: The Conspiracy,0.1,0.08,0,0.03
Devil Dice,0.05,0.03,1.1,0.08
Devil Kings,0.03,0.03,0.18,0.01
Devil May Cry,1.36,0.86,0.64,0.13
Devil May Cry 2,0.71,0.58,0.51,0.17
Devil May Cry 3: Dante's Awakening,0.99,0.63,0.29,0.19
Devil May Cry 3: Dante's Awakening Special Edition,1.06,0.82,0.05,0.28
Devil May Cry 4,1.39,0.82,0.5,0.35
Devil May Cry HD Collection,0.7,0.32,0.12,0.13
Devil Survivor: Over Clock,0,0,0.02,0
Devil's Third,0.04,0.02,0,0.01
Dewy's Adventure,0.14,0,0.01,0.01
Dexter's Lab Chess Challenge,0.14,0.05,0,0
Dexter's Laboratory Deesaster Strikes,0.3,0.11,0,0.01
Diablo,0.3,1.77,0.07,0.04
Diablo II,0.01,0.09,0,0.02
Diablo II: Lord of Destruction,1.03,0.02,0,0
Diablo III,4.87,4.54,0.21,1.44
Diabolik Lovers,0,0,0.05,0
Diabolik Lovers: Dark Fate,0,0,0.03,0
Diabolik Lovers: Lunatic Parade,0,0,0.03,0
Diabolik Lovers: More Blood,0,0,0.05,0
Diabolik Lovers: Vandead Carnival,0,0,0.02,0
Diary Girl,0.01,0,0,0
DICE: DNA Integrated Cybernetic Enterprises,0.01,0.01,0,0
Diddy Kong Racing,2.91,0.99,0.89,0.1
Diddy Kong Racing DS,1.1,0.04,0,0.1
Die Hard Trilogy,0.85,0.58,0,0.1
Die Hard Trilogy 2: Viva Las Vegas,0.27,0.18,0,0.03
Die Hard: Vendetta,0.09,0.02,0,0
Diego's Build & Rescue,0.07,0,0,0.01
Dies Irae: Amantes Amentes,0,0,0.02,0
Dig Dug,1.52,0.1,0.41,0.02
Dig Dug: Digging Strike,0.05,0,0,0
Di-Gata Defenders,0.06,0,0,0
Digger Simulator,0,0.01,0,0
Digging for Dinosaurs,0.35,0,0,0.02
Digimon Adventure,0,0,0.1,0
Digimon Adventure: Anode Tamer,0,0,0.28,0
Digimon All-Star Rumble,0.1,0.04,0,0.03
Digimon Battle Spirit 2,0.11,0.04,0,0
Digimon Digital Card Battle,0.06,0.04,0,0.01
Digimon Racing,0.09,0.03,0,0
Digimon Rumble Arena,0.01,0.01,0,0
Digimon Rumble Arena 2,0.09,0.05,0,0.01
Digimon Story: Cyber Sleuth,0,0.09,0.17,0.02
Digimon Story: Lost Evolution,0,0,0.1,0
Digimon Story: Super Xros Wars Blue/Red,0,0,0.1,0
Digimon World,0.56,0.38,0.28,0.08
Digimon World 2,0.23,0.16,0.16,0.04
Digimon World 4,0.17,0.09,0,0.02
Digimon World Championship,0,0,0.07,0
Digimon World DS,0.1,0,0,0.01
Digimon World DS (JP sales),0,0,0.23,0
Digimon World Re:Digitize,0,0,0.22,0
Digimon World Re:Digitize Decode,0,0,0.09,0
Digimon World: Data Squad,0.12,0.09,0,0.03
Digimon World: Dawn / Dusk,0.14,0,0.18,0.01
Digimon World: Next Order,0,0,0.09,0
Diner Dash: Flo on the Go,0.13,0,0,0.01
Diner Dash: Sizzle & Serve,0.45,0.03,0,0.04
Dino Crisis,0.81,0.76,0.7,0.14
Dino Crisis 2,0.34,0.49,0.28,0.1
Dino Crisis 3,0.08,0.03,0.03,0
Dino Dini's Kick Off Revival,0,0.02,0,0
Dino Master: Dig Discover Duel,0.06,0,0,0
Dino Pets,0.05,0,0,0
Dino Stalker,0.07,0.06,0.08,0.02
Dinosaur King,0.2,0,0,0.02
Dinotopia: The Sunstone Odyssey,0.02,0,0,0
Dinotopia: The Timestone Pirates,0.14,0.05,0,0
Dirge of Cerberus: Final Fantasy VII,0.47,0.37,0.52,0.12
DiRT,0.54,1.09,0,0.32
DiRT 2,0.85,1.4,0,0.44
DiRT 3,0.5,1.13,0.02,0.32
DiRT Rally,0.06,0.35,0,0.06
DiRT Showdown,0.1,0.27,0,0.06
Disaster Report,0.03,0.02,0.15,0.01
Disaster: Day of Crisis,0,0.03,0.04,0
Disciples III: Renaissance,0,0.01,0,0
Discovery Kids: Dolphin Discovery,0.21,0,0,0.01
Discovery Kids: Kitten Corner,0.42,0,0,0.03
Discovery Kids: Parrot Pals,0.07,0,0,0
Discovery Kids: Pony Paradise,0.19,0,0,0.01
Discovery Kids: Puppy Playtime,0.3,0,0,0.02
Discovery Kids: Snake Safari,0.02,0,0,0
Discovery Kids: Spider Quest,0.07,0,0,0.01
Discworld,0.04,0.02,0,0
Discworld II: Mortality Bytes!,0.01,0.01,0,0
Disgaea 2: Cursed Memories,0.09,0.07,0.15,0.02
Disgaea 2: Dark Hero Days,0.1,0.01,0.12,0.02
Disgaea 3: Absence of Detention,0.13,0.06,0.07,0.04
Disgaea 3: Absence of Justice,0.32,0.04,0.11,0.04
Disgaea 4: A Promise Unforgotten,0.31,0.15,0.22,0.08
Disgaea 5: Alliance of Vengeance,0.1,0.08,0.06,0.04
Disgaea D2: A Brighter Darkness,0.09,0,0.1,0.01
Disgaea DS,0.11,0.02,0.05,0.01
Disgaea Infinite,0.07,0,0.01,0.01
Disgaea: Afternoon of Darkness,0.15,0.01,0.04,0.02
Disgaea: Hour of Darkness,0.16,0.13,0,0.04
Dishonored,2.23,1.48,0.07,0.52
Disney Art Academy,0.01,0.01,0.07,0
Disney Channel Collection Vol. 1,0.08,0.03,0,0
Disney Channel: All Star Party,0.18,0.08,0,0.02
Disney Fairies: Tinker Bell,0.86,0.52,0.01,0.15
Disney Fairies: Tinker Bell and the Great Fairy Rescue,0.18,0.14,0,0.03
Disney Fairies: Tinker Bell and the Lost Treasure,0.57,0.35,0.02,0.1
Disney Friends,0.13,0.04,0,0.01
Disney Golf,0.07,0.06,0.02,0.02
Disney Guilty Party,0.43,0,0,0.03
Disney Infinity,3.13,1.48,0,0.5
Disney Infinity 2.0: Marvel Super Heroes,1.94,1.52,0,0.49
Disney Infinity 3.0,0.92,1.13,0,0.3
Disney Magic World 2,0,0,0.19,0
Disney Magical World,0.16,0.2,0.53,0.03
Disney Planes Fire & Rescue,0.02,0.14,0,0.01
Disney Princess,1.04,0.37,0,0.06
Disney Princess: Enchanted Journey,1.35,0.13,0,0.12
Disney Princess: Enchanting Storybooks,0.34,0.15,0,0.05
Disney Princess: Magical Jewels,1.15,0.2,0,0.12
Disney Sing It,1.68,0.58,0,0.25
Disney Sing It! High School Musical 3: Senior Year,0.58,0.51,0,0.46
Disney Sing It: Family Hits,0.5,0.22,0,0.07
Disney Sing It: Party Hits,0.6,0.12,0,0.06
Disney Sing It: Pop Hits,1.35,0.35,0,0.38
Disney Sports Basketball,0.01,0,0,0
Disney Sports Football,0.02,0.01,0,0
Disney Sports Skateboarding,0.1,0.03,0,0
Disney Sports Soccer,0.05,0.02,0,0
Disney Stitch Jam,0.08,0,0.16,0
Disney Tangled,1.05,0.54,0,0.14
Disney TH!NK Fast: The Ultimate Trivia Showdown,0.45,0.22,0.01,0.08
Disney Universe,1.34,0.68,0,0.24
Disney's 102 Dalmatians: Puppies to the Rescue,0.34,0.23,0,0.04
Disney's A Christmas Carol,0.22,0.01,0,0.02
Disney's Aladdin,0.96,0.35,0.21,0.27
Disney's Aladdin in Nasira's Revenge,0.05,0.04,0,0.01
Disney's American Dragon Jake Long: Attack of the Dark Dragon,0.15,0,0,0.01
Disney's Atlantis: The Lost Empire,0.19,0.1,0,0.01
Disney's Brother Bear,0.28,0.1,0,0.01
Disney's Chicken Little,1.13,0.51,0,0.1
Disney's Chicken Little: Ace In Action,0.16,0,0,0.01
Disney's Chip 'n Dale: Rescue Rangers,0.68,0.14,0.35,0.02
Disney's Cinderella: Magical Dreams,0.1,0.04,0,0
Disney's Donald Duck Advance,0.05,0.02,0,0
